from_id,to_id,team_id,team,from,to,passes,shared_minutes,passes_per90_shared
444,495,446,1. FC Union Berlin,Frederik Rönnow,Leonardo Bonucci,11.0,1055.6293233333336,0.9378291964019174
444,732,446,1. FC Union Berlin,Frederik Rönnow,Kevin Volland,7.0,2798.7048266666666,0.22510412459264134
444,977,446,1. FC Union Berlin,Frederik Rönnow,Robin Knoche,89.0,4233.194688333333,1.8921879548974032
444,997,446,1. FC Union Berlin,Frederik Rönnow,Kevin Vogt,68.0,2794.905623333333,2.189698267056691
444,1012,446,1. FC Union Berlin,Frederik Rönnow,Janik Haberer,9.0,2576.925686666667,0.3143280398775333
444,1014,446,1. FC Union Berlin,Frederik Rönnow,Rani Khedira,22.0,3181.9639616666664,0.622257204623683
444,1291,446,1. FC Union Berlin,Frederik Rönnow,Alexander Schwolow,0.0,0.0,0.0
444,1369,446,1. FC Union Berlin,Frederik Rönnow,Milos Pantovic,0.0,0.0,0.0
444,1613,446,1. FC Union Berlin,Frederik Rönnow,Aïssa Laïdouni,13.0,2210.3929233333333,0.5293176555395445
444,1708,446,1. FC Union Berlin,Frederik Rönnow,Jérôme Roussillon,8.0,1697.1574749999997,0.42423877018247824
444,2030,446,1. FC Union Berlin,Frederik Rönnow,Lucas Tousart,25.0,3386.8365583333334,0.6643367523785169
444,3425,446,1. FC Union Berlin,Frederik Rönnow,András Schäfer,13.0,2691.2347800000002,0.43474467879758893
444,3998,446,1. FC Union Berlin,Frederik Rönnow,Yorbe Vertessen,4.0,974.6913233333332,0.369347701556264
444,6175,446,1. FC Union Berlin,Frederik Rönnow,Diogo Leite,143.0,6444.51785,1.997046218127862
444,7376,446,1. FC Union Berlin,Frederik Rönnow,Paul Jaeckel,13.0,475.6464333333334,2.4598103086795633
444,8522,446,1. FC Union Berlin,Frederik Rönnow,Chris Bedia,1.0,105.66410500000003,0.8517556648021575
444,10517,446,1. FC Union Berlin,Frederik Rönnow,Christopher Trimmel,18.0,3708.4322816666677,0.4368422764543321
444,13176,446,1. FC Union Berlin,Frederik Rönnow,Danilho Doekhi,95.0,4864.722861666667,1.7575513021251012
444,16806,446,1. FC Union Berlin,Frederik Rönnow,Josip Juranovic,30.0,2866.798738333334,0.9418170741799944
444,21100,446,1. FC Union Berlin,Frederik Rönnow,Alex Král,22.0,2891.1797416666664,0.6848415446002667
444,21558,446,1. FC Union Berlin,Frederik Rönnow,Robin Gosens,29.0,5142.122536666667,0.5075725017031407
444,21598,446,1. FC Union Berlin,Frederik Rönnow,Sheraldo Becker,1.0,1578.7395216666666,0.05700750425566562
444,23329,446,1. FC Union Berlin,Frederik Rönnow,Kevin Behrens,10.0,2890.1017283333335,0.311407723533321
444,26762,446,1. FC Union Berlin,Frederik Rönnow,Benedict Hollerbach,9.0,2828.010613333333,0.28642042437219334
444,32182,446,1. FC Union Berlin,Frederik Rönnow,Mikkel Kaufmann,11.0,933.9446316666665,1.0600200123569425
444,42376,446,1. FC Union Berlin,Frederik Rönnow,Brenden Aaronson,6.0,2628.0263616666666,0.20547739089555317
444,45493,446,1. FC Union Berlin,Frederik Rönnow,Jordan,1.0,24.361066666666677,3.694419510913587
444,76896,446,1. FC Union Berlin,Frederik Rönnow,David Datro Fofana,1.0,1496.6020316666666,0.06013622733077074
444,107910,446,1. FC Union Berlin,Frederik Rönnow,Aljoscha Kemlein,0.0,0.0,0.0
495,444,446,1. FC Union Berlin,Leonardo Bonucci,Frederik Rönnow,13.0,1055.6293233333336,1.1083435957477206
495,732,446,1. FC Union Berlin,Leonardo Bonucci,Kevin Volland,0.0,0.0,0.0
495,977,446,1. FC Union Berlin,Leonardo Bonucci,Robin Knoche,17.0,435.828085,3.510558526764057
495,997,446,1. FC Union Berlin,Leonardo Bonucci,Kevin Vogt,0.0,0.0,0.0
495,1012,446,1. FC Union Berlin,Leonardo Bonucci,Janik Haberer,5.0,622.6553733333333,0.7227111806503215
495,1014,446,1. FC Union Berlin,Leonardo Bonucci,Rani Khedira,3.0,204.92665,1.3175445946147073
495,1291,446,1. FC Union Berlin,Leonardo Bonucci,Alexander Schwolow,0.0,0.0,0.0
