from_id,to_id,team_id,team,from,to,passes,shared_minutes,passes_per90_shared
183,568,32,Borussia Mönchengladbach,Julian Weigl,Nico Elvedi,143.0,5219.039633333334,2.4659709264901855
183,810,32,Borussia Mönchengladbach,Julian Weigl,Christoph Kramer,9.0,284.2303766666667,2.849800958994378
183,1046,32,Borussia Mönchengladbach,Julian Weigl,Patrick Herrmann,1.0,63.85318833333331,1.4094832591627575
183,1185,32,Borussia Mönchengladbach,Julian Weigl,Moritz Nicolas,22.0,5026.901295000001,0.3938808191776918
183,1190,32,Borussia Mönchengladbach,Julian Weigl,Tony Jantschke,1.0,34.846273333333315,2.5827726006473015
183,1249,32,Borussia Mönchengladbach,Julian Weigl,Marvin Friedrich,84.0,2836.4420816666666,2.6653109008867246
183,1902,32,Borussia Mönchengladbach,Julian Weigl,Alassane Pléa,69.0,3941.886585,1.575387791122864
183,4168,32,Borussia Mönchengladbach,Julian Weigl,Robin Hack,41.0,2698.236705,1.3675597819725014
183,9293,32,Borussia Mönchengladbach,Julian Weigl,Stefan Lainer,45.0,1362.8797800000002,2.971648753934848
183,9447,32,Borussia Mönchengladbach,Julian Weigl,Maximilian Wöber,145.0,4926.60034,2.648885458405177
183,10460,32,Borussia Mönchengladbach,Julian Weigl,Florian Neuhaus,73.0,2638.4092316666665,2.490136829854015
183,16142,32,Borussia Mönchengladbach,Julian Weigl,Ko Itakura,76.0,3512.004068333333,1.9476059443308134
183,21832,32,Borussia Mönchengladbach,Julian Weigl,Franck Honorat,84.0,5184.526616666667,1.4581852035819265
183,31223,32,Borussia Mönchengladbach,Julian Weigl,Rocco Reitz,77.0,4386.049565,1.580009504520955
183,32176,32,Borussia Mönchengladbach,Julian Weigl,Tomas Cvancara,20.0,1459.6958849999999,1.2331335715178782
183,33328,32,Borussia Mönchengladbach,Julian Weigl,Jonas Omlin,12.0,1444.9947666666667,0.7474075511646028
183,45493,32,Borussia Mönchengladbach,Julian Weigl,Jordan,14.0,2920.726033333333,0.4313995854523889
183,47830,32,Borussia Mönchengladbach,Julian Weigl,Nathan Ngoumou,31.0,2593.6068899999996,1.0757220034991504
183,48270,32,Borussia Mönchengladbach,Julian Weigl,Manu Koné,61.0,3276.698296666667,1.6754670411935362
183,48597,32,Borussia Mönchengladbach,Julian Weigl,Joe Scally,88.0,4447.603421666666,1.780734307698709
183,49344,32,Borussia Mönchengladbach,Julian Weigl,Luca Netz,81.0,4625.499238333334,1.5760460924055286
183,90010,32,Borussia Mönchengladbach,Julian Weigl,Grant-Leon Ranos,5.0,33.30410499999998,13.51184786379938
183,99755,32,Borussia Mönchengladbach,Julian Weigl,Yvandro Borges Sanches,1.0,19.632433333333303,4.584250890957657
183,106573,32,Borussia Mönchengladbach,Julian Weigl,Lukas Ullrich,0.0,0.0,0.0
183,106696,32,Borussia Mönchengladbach,Julian Weigl,Fabio Chiarodia,2.0,21.518068333333336,8.3650631279558
183,158837,32,Borussia Mönchengladbach,Julian Weigl,Shio Fukuda,0.0,0.0,0.0
568,183,32,Borussia Mönchengladbach,Nico Elvedi,Julian Weigl,101.0,5219.039633333334,1.741699745283278
568,810,32,Borussia Mönchengladbach,Nico Elvedi,Christoph Kramer,9.0,308.1521583333334,2.6285715614680503
568,1046,32,Borussia Mönchengladbach,Nico Elvedi,Patrick Herrmann,6.0,70.53525166666662,7.6557464138912525
568,1185,32,Borussia Mönchengladbach,Nico Elvedi,Moritz Nicolas,135.0,5037.089819999998,2.4121070765420662
568,1190,32,Borussia Mönchengladbach,Nico Elvedi,Tony Jantschke,0.0,0.0,0.0
568,1249,32,Borussia Mönchengladbach,Nico Elvedi,Marvin Friedrich,115.0,2530.217943333333,4.090556715586647
568,1902,32,Borussia Mönchengladbach,Nico Elvedi,Alassane Pléa,28.0,3711.3089316666665,0.6790057218083227
568,4168,32,Borussia Mönchengladbach,Nico Elvedi,Robin Hack,31.0,2905.746101666667,0.9601664778625091
568,9293,32,Borussia Mönchengladbach,Nico Elvedi,Stefan Lainer,29.0,1139.0840933333334,2.2913145879882184
568,9447,32,Borussia Mönchengladbach,Nico Elvedi,Maximilian Wöber,155.0,3923.825696666667,3.555203793035628
568,10460,32,Borussia Mönchengladbach,Nico Elvedi,Florian Neuhaus,54.0,2068.924043333333,2.34904708834542
568,16142,32,Borussia Mönchengladbach,Nico Elvedi,Ko Itakura,132.0,2732.880745,4.347061254588334
568,21832,32,Borussia Mönchengladbach,Nico Elvedi,Franck Honorat,79.0,4978.241366666667,1.42821520218107
568,31223,32,Borussia Mönchengladbach,Nico Elvedi,Rocco Reitz,80.0,4173.23155,1.7252816944700804
568,32176,32,Borussia Mönchengladbach,Nico Elvedi,Tomas Cvancara,10.0,1025.5821266666667,0.8775503946477383
568,33328,32,Borussia Mönchengladbach,Nico Elvedi,Jonas Omlin,20.0,815.297735,2.207782412151556
568,45493,32,Borussia Mönchengladbach,Nico Elvedi,Jordan,15.0,2566.6324166666664,0.5259810447470582
568,47830,32,Borussia Mönchengladbach,Nico Elvedi,Nathan Ngoumou,25.0,1807.4582116666668,1.244842058022057
568,48270,32,Borussia Mönchengladbach,Nico Elvedi,Manu Koné,69.0,3259.082955,1.9054439809434063
568,48597,32,Borussia Mönchengladbach,Nico Elvedi,Joe Scally,189.0,4181.566813333335,4.067853213719305
568,49344,32,Borussia Mönchengladbach,Nico Elvedi,Luca Netz,88.0,4611.829213333334,1.7173229175751694
