from_id,to_id,team_id,team,from,to,passes,shared_minutes,passes_per90_shared
98,170,33,FC Bayern München,Joshua Kimmich,Eric Dier,61.0,1935.0251516666665,2.8371724239715332
98,204,33,FC Bayern München,Joshua Kimmich,Leroy Sané,78.0,3375.989906666667,2.0793901030738864
98,216,33,FC Bayern München,Joshua Kimmich,Thomas Müller,99.0,3120.053045,2.8557206789412133
98,231,33,FC Bayern München,Joshua Kimmich,Harry Kane,52.0,4798.9516583333325,0.9752129909192201
98,309,33,FC Bayern München,Joshua Kimmich,Kingsley Coman,93.0,2214.7491216666667,3.779209084278276
98,409,33,FC Bayern München,Joshua Kimmich,Raphaël Guerreiro,66.0,2025.1943566666666,2.9330518231232086
98,582,33,FC Bayern München,Joshua Kimmich,Manuel Neuer,28.0,2987.007055,0.8436538493545674
98,929,33,FC Bayern München,Joshua Kimmich,Eric-Maxim Choupo-Moting,30.0,1408.4313066666666,1.9170264017988128
98,1053,33,FC Bayern München,Joshua Kimmich,Leon Goretzka,107.0,4251.7727116666665,2.2649376279159346
98,1202,33,FC Bayern München,Joshua Kimmich,Sven Ulreich,27.0,2289.600516666667,1.0613205152214653
98,1978,33,FC Bayern München,Joshua Kimmich,Bouna Sarr,0.0,0.0,0.0
98,5253,33,FC Bayern München,Joshua Kimmich,Serge Gnabry,32.0,842.403135,3.418790695739754
98,7594,33,FC Bayern München,Joshua Kimmich,Konrad Laimer,181.0,2684.897275,6.067271232937581
98,7910,33,FC Bayern München,Joshua Kimmich,Matthijs de Ligt,128.0,2377.7249566666665,4.844967441545423
98,7947,33,FC Bayern München,Joshua Kimmich,Dayot Upamecano,205.0,2966.2601766666667,6.219953376016118
98,8358,33,FC Bayern München,Joshua Kimmich,Noussair Mazraoui,57.0,1542.9747849999999,3.3247464896194012
98,28349,33,FC Bayern München,Joshua Kimmich,Ryan Gravenberch,2.0,12.794068333333355,14.069019744957307
