from_id,to_id,team_id,team,from,to,passes,shared_minutes,passes_per90_shared
205,355,37,RasenBallsport Leipzig,Péter Gulácsi,Emil Forsberg,0.0,0.0,0.0
205,1017,37,RasenBallsport Leipzig,Péter Gulácsi,Timo Werner,0.0,0.0,0.0
205,1132,37,RasenBallsport Leipzig,Péter Gulácsi,Yussuf Poulsen,2.0,494.02721833333334,0.3643523946054106
205,1174,37,RasenBallsport Leipzig,Péter Gulácsi,Kevin Kampl,4.0,828.6936649999999,0.43441867025736225
205,1235,37,RasenBallsport Leipzig,Péter Gulácsi,Willi Orbán,75.0,2702.5942066666667,2.497600262499391
205,1303,37,RasenBallsport Leipzig,Péter Gulácsi,Benjamin Henrichs,14.0,2277.4464233333333,0.5532512146458441
205,1346,37,RasenBallsport Leipzig,Péter Gulácsi,Lukas Klostermann,8.0,643.7714866666668,1.1184092724081813
205,2735,37,RasenBallsport Leipzig,Péter Gulácsi,Loïs Openda,3.0,2401.966571666667,0.11240789242651845
205,5658,37,RasenBallsport Leipzig,Péter Gulácsi,Dani Olmo,4.0,2207.0130400000003,0.16311639010524376
205,7873,37,RasenBallsport Leipzig,Péter Gulácsi,Xaver Schlager,19.0,2101.7325333333333,0.8136144694339159
205,10258,37,RasenBallsport Leipzig,Péter Gulácsi,Christopher Lenz,0.0,0.0,0.0
205,13493,37,RasenBallsport Leipzig,Péter Gulácsi,Amadou Haidara,1.0,1781.7778366666666,0.050511347794274485
205,13823,37,RasenBallsport Leipzig,Péter Gulácsi,David Raum,29.0,2302.0753366666663,1.1337595944097985
205,19670,37,RasenBallsport Leipzig,Péter Gulácsi,Eljif Elmas,0.0,0.0,0.0
205,23016,37,RasenBallsport Leipzig,Péter Gulácsi,Janis Blaswich,0.0,0.0,0.0
205,28715,37,RasenBallsport Leipzig,Péter Gulácsi,Nicolas Seiwald,7.0,699.3001516666667,0.9009007055103574
205,29532,37,RasenBallsport Leipzig,Péter Gulácsi,Christoph Baumgartner,1.0,730.4024033333335,0.12321974789412998
205,46932,37,RasenBallsport Leipzig,Péter Gulácsi,Castello Lukeba,95.0,2160.7322366666667,3.9569919191792002
205,49763,37,RasenBallsport Leipzig,Péter Gulácsi,Mohamed Simakan,8.0,1083.7585400000003,0.6643546264465883
205,52528,37,RasenBallsport Leipzig,Péter Gulácsi,Benjamin Sesko,2.0,1806.8852266666668,0.09961894499080229
205,52688,37,RasenBallsport Leipzig,Péter Gulácsi,Xavi Simons,7.0,2468.310755,0.25523528539663154
205,69542,37,RasenBallsport Leipzig,Péter Gulácsi,Fábio Carvalho,0.0,0.0,0.0
205,103396,37,RasenBallsport Leipzig,Péter Gulácsi,El Chadaille Bitshiabu,2.0,41.38389916666668,4.349517653594707
205,174633,37,RasenBallsport Leipzig,Péter Gulácsi,Jonathan Norbye,0.0,0.0,0.0
355,205,37,RasenBallsport Leipzig,Emil Forsberg,Péter Gulácsi,0.0,0.0,0.0
355,1017,37,RasenBallsport Leipzig,Emil Forsberg,Timo Werner,1.0,36.6993183333333,2.452361626517043
355,1132,37,RasenBallsport Leipzig,Emil Forsberg,Yussuf Poulsen,11.0,802.9624449999999,1.2329343746580828
355,1174,37,RasenBallsport Leipzig,Emil Forsberg,Kevin Kampl,14.0,809.4230233333333,1.5566643938680156
355,1235,37,RasenBallsport Leipzig,Emil Forsberg,Willi Orbán,4.0,35.24370166666662,10.214591060974929
355,1303,37,RasenBallsport Leipzig,Emil Forsberg,Benjamin Henrichs,19.0,825.7666933333333,2.070802823370514
355,1346,37,RasenBallsport Leipzig,Emil Forsberg,Lukas Klostermann,7.0,329.58349,1.9115035161500353
355,2735,37,RasenBallsport Leipzig,Emil Forsberg,Loïs Openda,9.0,814.9777716666666,0.9938921381174767
355,5658,37,RasenBallsport Leipzig,Emil Forsberg,Dani Olmo,4.0,24.433066666666644,14.734130795424791
355,7873,37,RasenBallsport Leipzig,Emil Forsberg,Xaver Schlager,16.0,531.3535883333333,2.7100598012648534
355,10258,37,RasenBallsport Leipzig,Emil Forsberg,Christopher Lenz,0.0,0.0,0.0
355,13493,37,RasenBallsport Leipzig,Emil Forsberg,Amadou Haidara,7.0,456.2062066666666,1.380954469258938
355,13823,37,RasenBallsport Leipzig,Emil Forsberg,David Raum,20.0,914.425295,1.9684494838914095
355,19670,37,RasenBallsport Leipzig,Emil Forsberg,Eljif Elmas,0.0,0.0,0.0
355,23016,37,RasenBallsport Leipzig,Emil Forsberg,Janis Blaswich,1.0,914.6184083333334,0.09840169318700114
355,28715,37,RasenBallsport Leipzig,Emil Forsberg,Nicolas Seiwald,0.0,0.0,0.0
355,29532,37,RasenBallsport Leipzig,Emil Forsberg,Christoph Baumgartner,1.0,31.221853333333364,2.8825963353018946
355,46932,37,RasenBallsport Leipzig,Emil Forsberg,Castello Lukeba,16.0,748.3869933333334,1.9241381969857678
355,49763,37,RasenBallsport Leipzig,Emil Forsberg,Mohamed Simakan,11.0,722.3516433333332,1.3705236350423295
355,52528,37,RasenBallsport Leipzig,Emil Forsberg,Benjamin Sesko,5.0,116.85002499999993,3.851090318551496
355,52688,37,RasenBallsport Leipzig,Emil Forsberg,Xavi Simons,9.0,804.144305,1.0072818957537728
355,69542,37,RasenBallsport Leipzig,Emil Forsberg,Fábio Carvalho,1.0,34.226051666666656,2.6295758820364474
355,103396,37,RasenBallsport Leipzig,Emil Forsberg,El Chadaille Bitshiabu,0.0,0.0,0.0
