from_id,to_id,team_id,team,from,to,passes,shared_minutes,passes_per90_shared
622,862,34,SC Freiburg,Matthias Ginter,Roland Sallai,35.0,2685.1738933333327,1.1731083814797705
622,930,34,SC Freiburg,Matthias Ginter,Maximilian Philipp,9.0,321.27327,2.521218151762205
622,968,34,SC Freiburg,Matthias Ginter,Michael Gregoritsch,15.0,1796.5505183333332,0.7514400436968508
622,986,34,SC Freiburg,Matthias Ginter,Lukas Kübler,39.0,2125.2655216666662,1.6515583414007504
622,1050,34,SC Freiburg,Matthias Ginter,Nicolas Höfler,68.0,3296.424116666666,1.8565572218263362
622,1135,34,SC Freiburg,Matthias Ginter,Manuel Gulde,51.0,2647.415101666667,1.733766645476332
622,1268,34,SC Freiburg,Matthias Ginter,Christian Günter,5.0,935.5269716666668,0.4810123210005509
622,1294,34,SC Freiburg,Matthias Ginter,Vincenzo Grifo,39.0,4055.853646666667,0.8654158423306816
622,1320,34,SC Freiburg,Matthias Ginter,Maximilian Eggestein,97.0,4311.037218333334,2.0250347092514915
622,9604,34,SC Freiburg,Matthias Ginter,Lucas Höler,38.0,3673.150401666667,0.9310808505004854
622,15811,34,SC Freiburg,Matthias Ginter,Ritsu Doan,69.0,2943.90298,2.109444517087992
622,23160,34,SC Freiburg,Matthias Ginter,Florent Muslija,0.0,0.0,0.0
622,23350,34,SC Freiburg,Matthias Ginter,Philipp Lienhart,150.0,2540.4531733333333,5.314012531979334
622,27747,34,SC Freiburg,Matthias Ginter,Yannik Keitel,8.0,249.24040499999995,2.88877720287768
622,28559,34,SC Freiburg,Matthias Ginter,Junior Adamu,1.0,44.577539999999985,2.018953939584823
622,29624,34,SC Freiburg,Matthias Ginter,Attila Szalai,6.0,20.251868333333338,26.66420653699358
622,49785,34,SC Freiburg,Matthias Ginter,Noah Atubolu,81.0,4561.386434999999,1.59819828990218
622,56465,34,SC Freiburg,Matthias Ginter,Maximilian Breunig,0.0,0.0,0.0
622,62650,34,SC Freiburg,Matthias Ginter,Kiliann Sildillia,189.0,3200.5731650000002,5.314673067316053
622,68933,34,SC Freiburg,Matthias Ginter,Merlin Röhl,36.0,2568.530793333333,1.2614215131893598
622,70440,34,SC Freiburg,Matthias Ginter,Fabian Rüdlin,0.0,0.0,0.0
622,94847,34,SC Freiburg,Matthias Ginter,Kenneth Schmidt,0.0,0.0,0.0
622,94848,34,SC Freiburg,Matthias Ginter,Jordy Makengo,9.0,1310.4038933333334,0.6181300316038947
622,94862,34,SC Freiburg,Matthias Ginter,Noah Weißhaupt,23.0,1200.208498333333,1.7247003357120876
862,622,34,SC Freiburg,Roland Sallai,Matthias Ginter,28.0,2685.1738933333327,0.9384867051838164
862,930,34,SC Freiburg,Roland Sallai,Maximilian Philipp,2.0,271.57050666666663,0.6628112979180656
862,968,34,SC Freiburg,Roland Sallai,Michael Gregoritsch,22.0,1893.4255766666665,1.04572370015501
862,986,34,SC Freiburg,Roland Sallai,Lukas Kübler,35.0,2832.0980583333335,1.112249623819081
862,1050,34,SC Freiburg,Roland Sallai,Nicolas Höfler,27.0,2858.373425000001,0.850133848414155
862,1135,34,SC Freiburg,Roland Sallai,Manuel Gulde,16.0,3040.6634816666665,0.4735808512458928
862,1268,34,SC Freiburg,Roland Sallai,Christian Günter,17.0,1748.2734566666666,0.875149133086516
862,1294,34,SC Freiburg,Roland Sallai,Vincenzo Grifo,38.0,3701.2113633333333,0.9240218037480376
862,1320,34,SC Freiburg,Roland Sallai,Maximilian Eggestein,42.0,4124.306415000001,0.9165177413230581
862,9604,34,SC Freiburg,Roland Sallai,Lucas Höler,23.0,2995.7336799999994,0.6909826510345873
862,15811,34,SC Freiburg,Roland Sallai,Ritsu Doan,44.0,3166.4157416666662,1.2506254146891098
