from_id,to_id,team_id,team,from,to,passes,shared_minutes,passes_per90_shared
1153,1275,36,SV Darmstadt 98,Fabian Holland,Frank Ronstadt,0.0,0.0,0.0
1153,1306,36,SV Darmstadt 98,Fabian Holland,Gerrit Holtmann,4.0,219.59193666666667,1.6394044583998917
1153,1415,36,SV Darmstadt 98,Fabian Holland,Tobias Kempe,29.0,1894.2165400000004,1.377878370759026
1153,4044,36,SV Darmstadt 98,Fabian Holland,Bartol Franjic,37.0,1659.724143333333,2.0063575102981526
1153,4245,36,SV Darmstadt 98,Fabian Holland,Thomas Isherwood,8.0,601.7906383333334,1.196429379483285
1153,4670,36,SV Darmstadt 98,Fabian Holland,Christoph Klarer,37.0,3093.610491666667,1.0764121756666203
1153,8355,36,SV Darmstadt 98,Fabian Holland,Emir Karic,67.0,2261.10549,2.666837096574384
1153,9630,36,SV Darmstadt 98,Fabian Holland,Fabian Schnellhardt,0.0,0.0,0.0
1153,9702,36,SV Darmstadt 98,Fabian Holland,Marcel Schuhen,36.0,4239.550166666667,0.7642320228863902
1153,9820,36,SV Darmstadt 98,Fabian Holland,Tim Skarke,32.0,3304.168845000001,0.8716261592860576
1153,10430,36,SV Darmstadt 98,Fabian Holland,Marvin Mehlem,38.0,2477.6525266666667,1.3803388341145355
1153,10431,36,SV Darmstadt 98,Fabian Holland,Matthias Bader,35.0,2888.775325,1.090427480717975
1153,10528,36,SV Darmstadt 98,Fabian Holland,Klaus Gjasula,28.0,2041.1283433333338,1.2346112424682854
1153,10619,36,SV Darmstadt 98,Fabian Holland,Jannik Müller,3.0,1416.7445216666665,0.19057776181295583
1153,12698,36,SV Darmstadt 98,Fabian Holland,Filip Stojilkovic,0.0,0.0,0.0
1153,13834,36,SV Darmstadt 98,Fabian Holland,Aaron Seydel,6.0,842.5005033333333,0.6409491719749754
1153,15580,36,SV Darmstadt 98,Fabian Holland,Sebastian Polter,2.0,618.89052,0.2908430395734612
1153,23385,36,SV Darmstadt 98,Fabian Holland,Alexander Brunst,4.0,216.82388333333333,1.6603336978636962
1153,26464,36,SV Darmstadt 98,Fabian Holland,Christoph Zimmermann,17.0,1728.35353,0.8852355571027185
1153,29304,36,SV Darmstadt 98,Fabian Holland,Mathias Honsak,28.0,1266.247545,1.9901321901477014
1153,38249,36,SV Darmstadt 98,Fabian Holland,Fraser Hornby,2.0,236.08587333333332,0.7624344373449876
1153,44986,36,SV Darmstadt 98,Fabian Holland,Braydon Manu,1.0,243.29435,0.3699222772744209
1153,49828,36,SV Darmstadt 98,Fabian Holland,Luca Pfeiffer,16.0,2659.2679833333336,0.541502401798179
1153,51600,36,SV Darmstadt 98,Fabian Holland,Fabian Nürnberger,74.0,2228.707525,2.988279047516565
1153,64020,36,SV Darmstadt 98,Fabian Holland,Julian Justvan,15.0,1245.6665433333333,1.0837571316537702
1153,66446,36,SV Darmstadt 98,Fabian Holland,Oscar Vilhelmsson,12.0,1591.859001666667,0.6784520481206228
1153,67536,36,SV Darmstadt 98,Fabian Holland,Andreas Müller,12.0,279.40260166666667,3.865389919627389
1153,103125,36,SV Darmstadt 98,Fabian Holland,Clemens Riedel,29.0,1049.0260349999999,2.48802213950772
1153,104512,36,SV Darmstadt 98,Fabian Holland,Fabio Torsiello,0.0,0.0,0.0
1153,104869,36,SV Darmstadt 98,Fabian Holland,Asaf Arania,0.0,0.0,0.0
1153,106970,36,SV Darmstadt 98,Fabian Holland,Matej Maglica,63.0,2650.232065,2.139435287528302
1275,1153,36,SV Darmstadt 98,Frank Ronstadt,Fabian Holland,0.0,0.0,0.0
1275,1306,36,SV Darmstadt 98,Frank Ronstadt,Gerrit Holtmann,0.0,0.0,0.0
1275,1415,36,SV Darmstadt 98,Frank Ronstadt,Tobias Kempe,3.0,64.36007333333328,4.195147488437711
1275,4044,36,SV Darmstadt 98,Frank Ronstadt,Bartol Franjic,3.0,53.786921666666636,5.019807634154439
1275,4245,36,SV Darmstadt 98,Frank Ronstadt,Thomas Isherwood,2.0,29.82400000000001,6.035407725321886
1275,4670,36,SV Darmstadt 98,Frank Ronstadt,Christoph Klarer,8.0,66.13776833333333,10.88636671819967
1275,8355,36,SV Darmstadt 98,Frank Ronstadt,Emir Karic,2.0,71.31844999999997,2.523891082882481
1275,9630,36,SV Darmstadt 98,Frank Ronstadt,Fabian Schnellhardt,1.0,27.81738499999998,3.2353867913896313
1275,9702,36,SV Darmstadt 98,Frank Ronstadt,Marcel Schuhen,1.0,86.54720333333331,1.039894953663244
1275,9820,36,SV Darmstadt 98,Frank Ronstadt,Tim Skarke,1.0,61.56673666666663,1.4618283325178685
1275,10430,36,SV Darmstadt 98,Frank Ronstadt,Marvin Mehlem,0.0,0.0,0.0
1275,10431,36,SV Darmstadt 98,Frank Ronstadt,Matthias Bader,6.0,64.89900333333328,8.3206208456925
1275,10528,36,SV Darmstadt 98,Frank Ronstadt,Klaus Gjasula,0.0,0.0,0.0
1275,10619,36,SV Darmstadt 98,Frank Ronstadt,Jannik Müller,0.0,0.0,0.0
1275,12698,36,SV Darmstadt 98,Frank Ronstadt,Filip Stojilkovic,0.0,0.0,0.0
1275,13834,36,SV Darmstadt 98,Frank Ronstadt,Aaron Seydel,0.0,0.0,0.0
1275,15580,36,SV Darmstadt 98,Frank Ronstadt,Sebastian Polter,0.0,0.0,0.0
1275,23385,36,SV Darmstadt 98,Frank Ronstadt,Alexander Brunst,0.0,0.0,0.0
1275,26464,36,SV Darmstadt 98,Frank Ronstadt,Christoph Zimmermann,0.0,0.0,0.0
1275,29304,36,SV Darmstadt 98,Frank Ronstadt,Mathias Honsak,0.0,0.0,0.0
1275,38249,36,SV Darmstadt 98,Frank Ronstadt,Fraser Hornby,1.0,12.77170166666665,7.046829181337239
1275,44986,36,SV Darmstadt 98,Frank Ronstadt,Braydon Manu,0.0,0.0,0.0
1275,49828,36,SV Darmstadt 98,Frank Ronstadt,Luca Pfeiffer,0.0,0.0,0.0
1275,51600,36,SV Darmstadt 98,Frank Ronstadt,Fabian Nürnberger,0.0,0.0,0.0
1275,64020,36,SV Darmstadt 98,Frank Ronstadt,Julian Justvan,0.0,0.0,0.0
1275,66446,36,SV Darmstadt 98,Frank Ronstadt,Oscar Vilhelmsson,0.0,0.0,0.0
1275,67536,36,SV Darmstadt 98,Frank Ronstadt,Andreas Müller,1.0,18.488733333333343,4.8678294168340335
1275,103125,36,SV Darmstadt 98,Frank Ronstadt,Clemens Riedel,1.0,42.99100166666667,2.093461340999227
1275,104512,36,SV Darmstadt 98,Frank Ronstadt,Fabio Torsiello,0.0,0.0,0.0
1275,104869,36,SV Darmstadt 98,Frank Ronstadt,Asaf Arania,0.0,0.0,0.0
1275,106970,36,SV Darmstadt 98,Frank Ronstadt,Matej Maglica,1.0,39.82106999999999,2.260110037224013
1306,1153,36,SV Darmstadt 98,Gerrit Holtmann,Fabian Holland,4.0,219.59193666666667,1.6394044583998917
1306,1275,36,SV Darmstadt 98,Gerrit Holtmann,Frank Ronstadt,0.0,0.0,0.0
1306,1415,36,SV Darmstadt 98,Gerrit Holtmann,Tobias Kempe,4.0,204.00266833333333,1.764682800186576
1306,4044,36,SV Darmstadt 98,Gerrit Holtmann,Bartol Franjic,3.0,586.81645,0.4601098009437192
1306,4245,36,SV Darmstadt 98,Gerrit Holtmann,Thomas Isherwood,2.0,198.22873333333334,0.9080419219413532
1306,4670,36,SV Darmstadt 98,Gerrit Holtmann,Christoph Klarer,0.0,0.0,0.0
1306,8355,36,SV Darmstadt 98,Gerrit Holtmann,Emir Karic,20.0,467.99552,3.846190664389266
1306,9630,36,SV Darmstadt 98,Gerrit Holtmann,Fabian Schnellhardt,1.0,10.447350000000005,8.614624761303102
1306,9702,36,SV Darmstadt 98,Gerrit Holtmann,Marcel Schuhen,2.0,703.8804683333334,0.2557252375907073
1306,9820,36,SV Darmstadt 98,Gerrit Holtmann,Tim Skarke,8.0,636.3649033333334,1.131426318812648
1306,10430,36,SV Darmstadt 98,Gerrit Holtmann,Marvin Mehlem,1.0,34.22758333333334,2.6294582098745884
1306,10431,36,SV Darmstadt 98,Gerrit Holtmann,Matthias Bader,2.0,260.212685,0.6917418341846017
1306,10528,36,SV Darmstadt 98,Gerrit Holtmann,Klaus Gjasula,3.0,115.68206833333335,2.333983165152317
1306,10619,36,SV Darmstadt 98,Gerrit Holtmann,Jannik Müller,4.0,108.63739999999999,3.313775918790398
1306,12698,36,SV Darmstadt 98,Gerrit Holtmann,Filip Stojilkovic,0.0,0.0,0.0
1306,13834,36,SV Darmstadt 98,Gerrit Holtmann,Aaron Seydel,2.0,124.16048833333338,1.449736566086583
1306,15580,36,SV Darmstadt 98,Gerrit Holtmann,Sebastian Polter,1.0,220.26918500000002,0.40859097018041807
1306,23385,36,SV Darmstadt 98,Gerrit Holtmann,Alexander Brunst,0.0,0.0,0.0
1306,26464,36,SV Darmstadt 98,Gerrit Holtmann,Christoph Zimmermann,0.0,0.0,0.0
1306,29304,36,SV Darmstadt 98,Gerrit Holtmann,Mathias Honsak,3.0,113.78505666666666,2.372895069964811
1306,38249,36,SV Darmstadt 98,Gerrit Holtmann,Fraser Hornby,0.0,0.0,0.0
1306,44986,36,SV Darmstadt 98,Gerrit Holtmann,Braydon Manu,0.0,0.0,0.0
1306,49828,36,SV Darmstadt 98,Gerrit Holtmann,Luca Pfeiffer,8.0,380.93914000000007,1.8900656939583573
1306,51600,36,SV Darmstadt 98,Gerrit Holtmann,Fabian Nürnberger,0.0,0.0,0.0
1306,64020,36,SV Darmstadt 98,Gerrit Holtmann,Julian Justvan,5.0,487.2829566666666,0.92348807575437
1306,66446,36,SV Darmstadt 98,Gerrit Holtmann,Oscar Vilhelmsson,4.0,486.6462533333333,0.7397570566590068
1306,67536,36,SV Darmstadt 98,Gerrit Holtmann,Andreas Müller,6.0,228.53665166666667,2.3628595066126192
1306,103125,36,SV Darmstadt 98,Gerrit Holtmann,Clemens Riedel,1.0,64.66120333333332,1.3918701688250883
1306,104512,36,SV Darmstadt 98,Gerrit Holtmann,Fabio Torsiello,2.0,60.03878499999999,2.9980620027537204
1306,104869,36,SV Darmstadt 98,Gerrit Holtmann,Asaf Arania,0.0,0.0,0.0
1306,106970,36,SV Darmstadt 98,Gerrit Holtmann,Matej Maglica,8.0,442.87405500000006,1.6257443665332798
1415,1153,36,SV Darmstadt 98,Tobias Kempe,Fabian Holland,24.0,1894.2165400000004,1.140313134421263
1415,1275,36,SV Darmstadt 98,Tobias Kempe,Frank Ronstadt,1.0,64.36007333333328,1.3983824961459037
1415,1306,36,SV Darmstadt 98,Tobias Kempe,Gerrit Holtmann,3.0,204.00266833333333,1.3235121001399321
1415,4044,36,SV Darmstadt 98,Tobias Kempe,Bartol Franjic,16.0,853.2042883333334,1.6877552301253964
1415,4245,36,SV Darmstadt 98,Tobias Kempe,Thomas Isherwood,16.0,809.1877866666669,1.7795622026524567
1415,4670,36,SV Darmstadt 98,Tobias Kempe,Christoph Klarer,26.0,2894.0351766666668,0.8085596259735858
1415,8355,36,SV Darmstadt 98,Tobias Kempe,Emir Karic,45.0,1518.4146683333333,2.667255582064039
1415,9630,36,SV Darmstadt 98,Tobias Kempe,Fabian Schnellhardt,9.0,125.25455333333338,6.466830773364298
1415,9702,36,SV Darmstadt 98,Tobias Kempe,Marcel Schuhen,1.0,3210.0455316666666,0.028036985492000698
1415,9820,36,SV Darmstadt 98,Tobias Kempe,Tim Skarke,39.0,2848.134293333333,1.2323857088536538
1415,10430,36,SV Darmstadt 98,Tobias Kempe,Marvin Mehlem,20.0,1341.8530083333335,1.3414285982305276
1415,10431,36,SV Darmstadt 98,Tobias Kempe,Matthias Bader,31.0,1721.63694,1.6205507300511335
1415,10528,36,SV Darmstadt 98,Tobias Kempe,Klaus Gjasula,15.0,1345.8481099999997,1.0030849617940916
1415,10619,36,SV Darmstadt 98,Tobias Kempe,Jannik Müller,9.0,1500.5702866666666,0.5397947748247874
1415,12698,36,SV Darmstadt 98,Tobias Kempe,Filip Stojilkovic,0.0,0.0,0.0
1415,13834,36,SV Darmstadt 98,Tobias Kempe,Aaron Seydel,3.0,654.0805533333333,0.4127931928629015
1415,15580,36,SV Darmstadt 98,Tobias Kempe,Sebastian Polter,1.0,80.05100166666668,1.124283246008102
1415,23385,36,SV Darmstadt 98,Tobias Kempe,Alexander Brunst,0.0,0.0,0.0
1415,26464,36,SV Darmstadt 98,Tobias Kempe,Christoph Zimmermann,6.0,739.80799,0.7299191240148676
1415,29304,36,SV Darmstadt 98,Tobias Kempe,Mathias Honsak,2.0,485.5911716666667,0.3706821921457022
1415,38249,36,SV Darmstadt 98,Tobias Kempe,Fraser Hornby,3.0,78.95111999999999,3.419837489322508
1415,44986,36,SV Darmstadt 98,Tobias Kempe,Braydon Manu,0.0,0.0,0.0
1415,49828,36,SV Darmstadt 98,Tobias Kempe,Luca Pfeiffer,12.0,1789.47143,0.6035301720352138
1415,51600,36,SV Darmstadt 98,Tobias Kempe,Fabian Nürnberger,21.0,1670.4428749999997,1.1314364760902107
1415,64020,36,SV Darmstadt 98,Tobias Kempe,Julian Justvan,8.0,453.30777166666667,1.588324853449549
1415,66446,36,SV Darmstadt 98,Tobias Kempe,Oscar Vilhelmsson,14.0,1540.9495100000001,0.8176776668042809
1415,67536,36,SV Darmstadt 98,Tobias Kempe,Andreas Müller,2.0,68.54346833333332,2.6260707894827133
1415,103125,36,SV Darmstadt 98,Tobias Kempe,Clemens Riedel,14.0,830.2590883333335,1.5175985637559606
1415,104512,36,SV Darmstadt 98,Tobias Kempe,Fabio Torsiello,0.0,0.0,0.0
1415,104869,36,SV Darmstadt 98,Tobias Kempe,Asaf Arania,0.0,0.0,0.0
1415,106970,36,SV Darmstadt 98,Tobias Kempe,Matej Maglica,17.0,2031.407745,0.7531722785668516
4044,1153,36,SV Darmstadt 98,Bartol Franjic,Fabian Holland,40.0,1659.724143333333,2.169035146268273
4044,1275,36,SV Darmstadt 98,Bartol Franjic,Frank Ronstadt,2.0,53.786921666666636,3.3465384227696267
4044,1306,36,SV Darmstadt 98,Bartol Franjic,Gerrit Holtmann,7.0,586.81645,1.0735895355353449
4044,1415,36,SV Darmstadt 98,Bartol Franjic,Tobias Kempe,13.0,853.2042883333334,1.3713011244768847
4044,4245,36,SV Darmstadt 98,Bartol Franjic,Thomas Isherwood,15.0,1015.2313066666667,1.329746227421303
4044,4670,36,SV Darmstadt 98,Bartol Franjic,Christoph Klarer,39.0,2057.9023733333333,1.7056202692038296
