from_id,to_id,team_id,team,from,to,passes,shared_minutes,passes_per90_shared
2,441,31,TSG 1899 Hoffenheim,Andrej Kramaric,Pavel Kaderabek,90.0,4276.233841666667,1.8941901448595746
2,997,31,TSG 1899 Hoffenheim,Andrej Kramaric,Kevin Vogt,25.0,1775.6033083333334,1.2671749311573193
2,1019,31,TSG 1899 Hoffenheim,Andrej Kramaric,John Brooks,14.0,2683.2805783333333,0.4695744493416429
2,1027,31,TSG 1899 Hoffenheim,Andrej Kramaric,Oliver Baumann,7.0,5189.502546666667,0.12139891913236715
2,1250,31,TSG 1899 Hoffenheim,Andrej Kramaric,Florian Grillitsch,58.0,4018.251731666667,1.2990724196950396
2,1335,31,TSG 1899 Hoffenheim,Andrej Kramaric,Dennis Geiger,0.0,0.0,0.0
2,2498,31,TSG 1899 Hoffenheim,Andrej Kramaric,Ozan Kabak,55.0,4113.613516666666,1.2033216003264868
2,5940,31,TSG 1899 Hoffenheim,Andrej Kramaric,Stanley Nsoki,25.0,1103.3591033333335,2.039227295268218
2,8137,31,TSG 1899 Hoffenheim,Andrej Kramaric,Mergim Berisha,2.0,92.41855333333332,1.9476608701153297
2,9031,31,TSG 1899 Hoffenheim,Andrej Kramaric,Kasim Adams,0.0,0.0,0.0
2,9176,31,TSG 1899 Hoffenheim,Andrej Kramaric,Diadié Samassékou,0.0,0.0,0.0
2,9198,31,TSG 1899 Hoffenheim,Andrej Kramaric,Wout Weghorst,35.0,3096.4211766666663,1.0173034675441057
2,10145,31,TSG 1899 Hoffenheim,Andrej Kramaric,Ihlas Bebou,33.0,2564.8367016666666,1.1579684578242555
2,10331,31,TSG 1899 Hoffenheim,Andrej Kramaric,Grischa Prömel,63.0,3700.1956516666673,1.5323514034848618
2,10456,31,TSG 1899 Hoffenheim,Andrej Kramaric,Kevin Akpoguma,21.0,1396.6844366666664,1.3532047400132006
2,13710,31,TSG 1899 Hoffenheim,Andrej Kramaric,Robert Skov,49.0,1583.4877416666666,2.7849915625859833
2,27123,31,TSG 1899 Hoffenheim,Andrej Kramaric,Angelo Stiller,2.0,198.65953333333334,0.9060728019428884
2,29624,31,TSG 1899 Hoffenheim,Andrej Kramaric,Attila Szalai,6.0,459.37410166666666,1.1755125028616384
2,31467,31,TSG 1899 Hoffenheim,Andrej Kramaric,Finn Becker,14.0,524.1292233333334,2.403987306768947
2,44886,31,TSG 1899 Hoffenheim,Andrej Kramaric,Marius Bülter,54.0,2204.169625,2.204911974503777
2,49782,31,TSG 1899 Hoffenheim,Andrej Kramaric,Maximilian Beier,43.0,4044.4267683333333,0.9568723138470343
