from_id,to_id,team_id,team,from,to,passes,shared_minutes,passes_per90_shared
1004,1023,46,VfB Stuttgart,Genki Haraguchi,Alexander Nübel,0.0,0.0,0.0
1004,1056,46,VfB Stuttgart,Genki Haraguchi,Serhou Guirassy,0.0,0.0,0.0
1004,1161,46,VfB Stuttgart,Genki Haraguchi,Mahmoud Dahoud,0.0,0.0,0.0
1004,1171,46,VfB Stuttgart,Genki Haraguchi,Pascal Stenzel,0.0,0.0,0.0
1004,1297,46,VfB Stuttgart,Genki Haraguchi,Maximilian Mittelstädt,0.0,0.0,0.0
1004,1359,46,VfB Stuttgart,Genki Haraguchi,Waldemar Anton,2.0,27.32876833333336,6.586465873782206
1004,5420,46,VfB Stuttgart,Genki Haraguchi,Borna Sosa,2.0,23.24248333333332,7.744439241647306
1004,5774,46,VfB Stuttgart,Genki Haraguchi,Dan-Axel Zagadou,2.0,22.657500000000013,7.9443892750744745
1004,9861,46,VfB Stuttgart,Genki Haraguchi,Fabian Bredlow,0.0,0.0,0.0
1004,22947,46,VfB Stuttgart,Genki Haraguchi,Atakan Karazor,0.0,0.0,0.0
1004,27123,46,VfB Stuttgart,Genki Haraguchi,Angelo Stiller,0.0,0.0,0.0
1004,27426,46,VfB Stuttgart,Genki Haraguchi,Josha Vagnoman,0.0,0.0,0.0
1004,31448,46,VfB Stuttgart,Genki Haraguchi,Leonidas Stergiou,0.0,0.0,0.0
1004,33056,46,VfB Stuttgart,Genki Haraguchi,Roberto Massimo,3.0,22.905033333333357,11.787802098810873
1004,35172,46,VfB Stuttgart,Genki Haraguchi,Chris Führich,0.0,0.0,0.0
1004,41429,46,VfB Stuttgart,Genki Haraguchi,Woo-yeong Jeong,1.0,19.50280166666668,4.614721594273503
1004,44929,46,VfB Stuttgart,Genki Haraguchi,Deniz Undav,0.0,0.0,0.0
1004,45518,46,VfB Stuttgart,Genki Haraguchi,Silas,0.0,0.0,0.0
1004,46337,46,VfB Stuttgart,Genki Haraguchi,Enzo Millot,0.0,0.0,0.0
1004,50078,46,VfB Stuttgart,Genki Haraguchi,Hiroki Ito,2.0,23.341199999999997,7.711685774510309
1004,51629,46,VfB Stuttgart,Genki Haraguchi,Jamie Leweling,0.0,0.0,0.0
1004,53526,46,VfB Stuttgart,Genki Haraguchi,Anthony Rouault,0.0,0.0,0.0
1004,53560,46,VfB Stuttgart,Genki Haraguchi,Lilian Egloff,0.0,0.0,0.0
1004,104926,46,VfB Stuttgart,Genki Haraguchi,Luca Raimund,0.0,0.0,0.0
1004,104927,46,VfB Stuttgart,Genki Haraguchi,Samuele Di Benedetto,0.0,0.0,0.0
1004,114859,46,VfB Stuttgart,Genki Haraguchi,Jovan Milosevic,0.0,0.0,0.0
1023,1004,46,VfB Stuttgart,Alexander Nübel,Genki Haraguchi,0.0,0.0,0.0
1023,1056,46,VfB Stuttgart,Alexander Nübel,Serhou Guirassy,25.0,4447.198928333333,0.5059364414002563
1023,1161,46,VfB Stuttgart,Alexander Nübel,Mahmoud Dahoud,7.0,290.2522183333333,2.170526046682928
1023,1171,46,VfB Stuttgart,Alexander Nübel,Pascal Stenzel,29.0,2269.0706916666663,1.1502506332594318
1023,1297,46,VfB Stuttgart,Alexander Nübel,Maximilian Mittelstädt,43.0,4126.561611666667,0.9378267827284311
1023,1359,46,VfB Stuttgart,Alexander Nübel,Waldemar Anton,184.0,5937.572276666668,2.7890186810991926
1023,5420,46,VfB Stuttgart,Alexander Nübel,Borna Sosa,1.0,33.39996666666669,2.6946134676781095
1023,5774,46,VfB Stuttgart,Alexander Nübel,Dan-Axel Zagadou,104.0,3376.464073333333,2.772130784368028
1023,9861,46,VfB Stuttgart,Alexander Nübel,Fabian Bredlow,0.0,0.0,0.0
1023,22947,46,VfB Stuttgart,Alexander Nübel,Atakan Karazor,43.0,5550.702011666668,0.697209108301237
1023,27123,46,VfB Stuttgart,Alexander Nübel,Angelo Stiller,69.0,5518.758278333332,1.125253125214867
1023,27426,46,VfB Stuttgart,Alexander Nübel,Josha Vagnoman,13.0,2200.0496350000003,0.5318061835454907
1023,31448,46,VfB Stuttgart,Alexander Nübel,Leonidas Stergiou,12.0,982.0431033333334,1.0997480623143454
1023,33056,46,VfB Stuttgart,Alexander Nübel,Roberto Massimo,0.0,0.0,0.0
1023,35172,46,VfB Stuttgart,Alexander Nübel,Chris Führich,20.0,5661.612168333333,0.3179306435131329
1023,41429,46,VfB Stuttgart,Alexander Nübel,Woo-yeong Jeong,5.0,974.3693566666669,0.4618371841448885
1023,44929,46,VfB Stuttgart,Alexander Nübel,Deniz Undav,19.0,4374.520459999999,0.39089998906988777
1023,45518,46,VfB Stuttgart,Alexander Nübel,Silas,4.0,1776.3569566666663,0.20266196985291737
1023,46337,46,VfB Stuttgart,Alexander Nübel,Enzo Millot,22.0,4837.222995000001,0.40932576439966245
1023,50078,46,VfB Stuttgart,Alexander Nübel,Hiroki Ito,95.0,4417.28169,1.935579526059159
1023,51629,46,VfB Stuttgart,Alexander Nübel,Jamie Leweling,5.0,2921.852046666667,0.15401190505637444
1023,53526,46,VfB Stuttgart,Alexander Nübel,Anthony Rouault,52.0,2001.3578400000004,2.3384124050499633
1023,53560,46,VfB Stuttgart,Alexander Nübel,Lilian Egloff,2.0,210.9803533333333,0.8531600082952433
1023,104926,46,VfB Stuttgart,Alexander Nübel,Luca Raimund,0.0,0.0,0.0
1023,104927,46,VfB Stuttgart,Alexander Nübel,Samuele Di Benedetto,0.0,0.0,0.0
1023,114859,46,VfB Stuttgart,Alexander Nübel,Jovan Milosevic,0.0,0.0,0.0
