match_id,team_id,team_name,opponent_id,opponent_name,starting_11_players,team_xg
122838,33,FC Bayern München,38,SV Werder Bremen,"['Joshua Kimmich', 'Leroy Sané', 'Harry Kane', 'Kingsley Coman', 'Leon Goretzka', 'Sven Ulreich', 'Dayot Upamecano', 'Noussair Mazraoui', 'Alphonso Davies', 'Min-jae Kim', 'Jamal Musiala']",2.58382
122838,38,SV Werder Bremen,33,FC Bayern München,"['Mitchell Weiser', 'Milos Veljkovic', 'Leonardo Bittencourt', 'Anthony Jung', 'Marco Friedl', 'Amos Pieper', 'Senne Lynen', 'Jiri Pavlenka', 'Niclas Füllkrug', 'Marvin Ducksch', 'Jens Stage']",0.8044600000000001
122839,37,RasenBallsport Leipzig,41,Bayer 04 Leverkusen,"['Timo Werner', 'Willi Orbán', 'Benjamin Henrichs', 'Loïs Openda', 'Dani Olmo', 'Xaver Schlager', 'David Raum', 'Janis Blaswich', 'Nicolas Seiwald', 'Mohamed Simakan', 'Xavi Simons']",1.3472099999999998
122839,41,Bayer 04 Leverkusen,37,RasenBallsport Leipzig,"['Granit Xhaka', 'Jonathan Tah', 'Lukas Hradecky', 'Jonas Hofmann', 'Alejandro Grimaldo', 'Exequiel Palacios', 'Jeremie Frimpong', 'Odilon Kossounou', 'Edmond Tapsoba', 'Florian Wirtz', 'Victor Boniface']",1.2693800000000002
122840,30,VfL Wolfsburg,432,1. FC Heidenheim 1846,"['Yannick Gerhardt', 'Koen Casteels', 'Jonas Wind', 'Ridle Baku', 'Mattias Svanberg', 'Vaclav Cerny', 'Joakim Maehle', 'Lovro Majer', 'Maxence Lacroix', 'Cédric Zesiger', 'Patrick Wimmer']",2.3997499999999996
122840,432,1. FC Heidenheim 1846,30,VfL Wolfsburg,"['Jonas Föhrenbach', 'Marnon Busch', 'Kevin Müller', 'Tim Kleindienst', 'Florian Pick', 'Lennard Maloney', 'Patrick Mainka', 'Adrian Beck', 'Eren Dinkçi', 'Tim Siersleben', 'Marvin Pieringer']",0.6784699999999999
122841,31,TSG 1899 Hoffenheim,34,SC Freiburg,"['Andrej Kramaric', 'Pavel Kaderabek', 'John Brooks', 'Oliver Baumann', 'Florian Grillitsch', 'Ozan Kabak', 'Ihlas Bebou', 'Grischa Prömel', 'Angelo Stiller', 'Attila Szalai', 'Marius Bülter']",1.6162599999999998
122841,34,SC Freiburg,31,TSG 1899 Hoffenheim,"['Matthias Ginter', 'Roland Sallai', 'Michael Gregoritsch', 'Lukas Kübler', 'Christian Günter', 'Vincenzo Grifo', 'Maximilian Eggestein', 'Lucas Höler', 'Philipp Lienhart', 'Noah Atubolu', 'Merlin Röhl']",2.7213
122842,46,VfB Stuttgart,416,VfL Bochum,"['Alexander Nübel', 'Serhou Guirassy', 'Pascal Stenzel', 'Waldemar Anton', 'Dan-Axel Zagadou', 'Atakan Karazor', 'Chris Führich', 'Woo-yeong Jeong', 'Silas', 'Enzo Millot', 'Hiroki Ito']",2.02065
122842,416,VfL Bochum,46,VfB Stuttgart,"['Felix Passlack', 'Kevin Stöger', 'Ivan Ordets', 'Bernardo', 'Manuel Riemann', 'Anthony Losilla', 'Takuma Asano', 'Maximilian Wittek', 'Erhan Masovic', 'Philipp Hofmann', 'Christopher Antwi-Adjei']",0.76047
